ID 1	ID 2	Label 1	Label 2	AAI	CDS count 1	CDS count 2	Matched count	Proteome cov.	ID param.	Cov. param.
986378379	986378379	CM01_24_S247	CM01_24_S247	100.000000	3009	3009	3003	0.998006	0.400000	0.500000
986378379	634837943	CM01_24_S247	CM02_14_S245	98.022661	3009	3690	2416	0.721302	0.400000	0.500000
986378379	66625002	CM01_24_S247	CM02_2_S14	97.609394	3009	3078	2278	0.748480	0.400000	0.500000
986378379	905744770	CM01_24_S247	CM02_5_S246	98.444277	3009	3035	2324	0.769027	0.400000	0.500000
986378379	1010594904	CM01_24_S247	CM02_91_S238	69.962382	3009	3357	1591	0.499843	0.400000	0.500000
986378379	667285071	CM01_24_S247	CM03_34_S239	69.962382	3009	3354	1591	0.500079	0.400000	0.500000
986378379	821397712	CM01_24_S247	CM03_42_S4	98.037003	3009	3127	2366	0.771186	0.400000	0.500000
986378379	301857139	CM01_24_S247	CM03_47_S15	98.024297	3009	3700	2418	0.720823	0.400000	0.500000
986378379	524733932	CM01_24_S247	CM03_84_S248	98.048242	3009	3692	2418	0.721683	0.400000	0.500000
986378379	813858893	CM01_24_S247	CM06_11_S6	98.166821	3009	3101	2378	0.778396	0.400000	0.500000
986378379	653557253	CM01_24_S247	CM06_28_S240	70.285198	3009	3288	1591	0.505320	0.400000	0.500000
986378379	682186408	CM01_24_S247	CM06_29_S244	98.343360	3009	3048	2372	0.783226	0.400000	0.500000
986378379	205911922	CM01_24_S247	CM06_64_S241	70.285198	3009	3295	1591	0.504759	0.400000	0.500000
986378379	904990394	CM01_24_S247	CM07_26_S11	97.635635	3009	2978	2245	0.749958	0.400000	0.500000
986378379	880978847	CM01_24_S247	CM07_31_S12	97.632703	3009	3022	2246	0.744818	0.400000	0.500000
986378379	598015336	CM01_24_S247	CM1_23_S50	97.531923	3009	2825	2246	0.769969	0.400000	0.500000
986378379	600785901	CM01_24_S247	CM1_26_S52	97.550557	3009	2954	2244	0.752641	0.400000	0.500000
986378379	12736013	CM01_24_S247	CM1_30_S215	99.935514	3009	3056	2958	0.975433	0.400000	0.500000
986378379	671318810	CM01_24_S247	CM7_52_S47	97.636331	3009	2966	2246	0.751799	0.400000	0.500000
986378379	636225010	CM01_24_S247	CM7_69_S49	97.531500	3009	2997	2246	0.747919	0.400000	0.500000
986378379	823122783	CM01_24_S247	CM7_88B_S63	99.992100	3009	3051	2981	0.983828	0.400000	0.500000
